lat,lon,city,country
46.55,15.67,Maribor,Slovenia
33.87,-84.12,Lilburn,United States
8,-2,unkown,Ghana
36.11,-86.67,Nashville,United States
40.62,-111.89,Midvale,United States
33.56,-86.89,Birmingham,United States
36.83,-76.1,Virginia Beach,United States
35.16,-80.9,Charlotte,United States
32.32,-106.75,Las Cruces,United States
41.31,-77.36,Waterville,United States
26.35,-80.08,Boca Raton,United States
29.5,47.75,unkown,Kuwait
52.22,6.92,Enschede,The Netherlands
41.12,1.25,Tarragona,Spain
-33,-56,unkown,Uruguay
40.85,-74.23,Cedar Grove,United States
46.82,-100.77,Bismarck,United States
28.66,-81.31,Casselberry,United States
39.3,-76.58,Baltimore,United States
42.04,-88.11,Hoffman Estates,United States
43.62,1.43,Toulouse,France
45.07,7.67,Turin,Italy
47.69,-116.78,Coeur d'Alene,United States
38.42,27.17,Izmir,Turkey
47.48,8.22,Windisch,Switzerland
-31.55,-68.52,San Juan,Argentina
34.08,-117.74,Pomona,United States
34.35,-89.5,Oxford,United States
36.68,117,Jinan,China
41.66,-83.52,Toledo,United States
45.64,-122.68,Vancouver,United States
42.23,-83.63,Ypsilanti,United States
43.72,10.4,Pisa,Italy
38.73,-121.23,Roseville,United States
33.82,-118.04,Cypress,United States
32.78,-79.94,Charleston,United States
42.67,23.3,Sofia,Bulgaria
12.17,-69,unkown,Curacao
41.56,-105.82,Bosler,United States
43.37,-80.33,Cambridge,Canada
33.6,-117.71,Laguna Woods,United States
31.58,120.3,Wuxi,China
29.65,-82.31,Gainesville,United States
44.74,-85.62,Traverse City,United States
35.1,-77.1,New Bern,United States
42.32,-83.37,Garden City,United States
47.61,-122.12,Bellevue,United States
35.05,-89.86,Memphis,United States
34.18,-118.46,Van Nuys,United States
37.23,-80.43,Blacksburg,United States
39.41,-87.4,unkown,United States
35.85,-78.68,Raleigh,United States
59.37,24.8,Järveküla,Estonia
50.65,-120.4,Kamloops,Canada
44.6,-76.22,Elgin,Canada
43.11,-76.19,Liverpool,United States
40.62,-79.16,Indiana,United States
56.5,85.08,Tomsk,Russia
45.66,-122.52,Vancouver,United States
42.36,-83.36,Livonia,United States
33.08,-96.78,Plano,United States
50.73,7.1,Bonn,Germany
40.03,-76.28,Lancaster,United States
33.93,-84.47,Marietta,United States
48.1,16.28,Maria Enzersdorf,Austria
19.4,-99.15,Mexico City,Mexico
45.67,-111.04,Bozeman,United States
44.04,-123.06,Eugene,United States
40.69,-89.6,Peoria,United States
50.33,18.67,Gliwice,Poland
40.72,-73.65,Garden City,United States
49.87,8.65,Darmstadt,Germany
39,-76.93,College Park,United States
40.89,-81.41,North Canton,United States
17.13,-61.83,Saint John's,Antigua and Barbuda
42.52,-90.68,Dubuque,United States
37.39,-77.57,Chesterfield,United States
42.4,-71.12,Somerville,United States
29.54,-98.42,San Antonio,United States
35.05,-85.32,Chattanooga,United States
13.17,-59.53,Wakefield Tenantry,Barbados
37.88,-122.27,Berkeley,United States
25.78,-80.29,Miami,United States
-32.55,151.55,Vacy,Australia
47.67,9.17,Konstanz,Germany
42.63,-71.33,Lowell,United States
22.37,114.12,Tsuen Wan,Hong Kong
43.46,-88.84,Beaver Dam,United States
42.64,-73.76,Albany,United States
34.03,-117.62,Ontario,United States
37.26,-83.3,Busy,United States
40.73,-74.07,Jersey City,United States
51.45,6.95,Mulheim,Germany
38.97,-76.86,Lanham-Seabrook,United States
27.67,-97.27,Corpus Christi,United States
37.97,139.03,Niigata,Japan
40.55,-105.11,Fort Collins,United States
34.53,-82.71,Anderson,United States
21.02,105.87,unkown,Vietnam
35.45,136.77,Gifu,Japan
59.92,17.63,unkown,Sweden
52.33,5.23,Almere,The Netherlands
40.72,-74.05,Jersey City,United States
50.72,1.62,Boulogne-sur-Mer,France
-6.2,-39.9,unkown,Brazil
38.41,-82.44,Huntington,United States
44.91,-93.48,Minnetonka,United States
22.38,114.27,Sai Kung,Hong Kong
39.95,-75.05,Merchantville,United States
55.83,-4.1,unkown,United Kingdom
33.96,-118.39,Los Angeles,United States
38.91,-77.03,Washington,United States
25.94,-80.21,Miami,United States
40.71,-74.36,Summit,United States
29.53,-98.5,San Antonio,United States
42.29,-83.72,Ann Arbor,United States
29.7,-82.4,Gainesville,United States
38.67,-90.37,Olivette,United States
37.31,-121.93,San Jose,United States
51.82,19.47,Lodz,Poland
52.48,1.75,Lowestoft,United Kingdom
42.99,-78.74,Buffalo,United States
40.71,-111.85,Salt Lake City,United States
40.79,-77.85,State College,United States
42.97,-85.92,Allendale Charter Township,United States
44.56,-123.28,Corvallis,United States
42.78,-73.66,Troy,United States
36.36,-119.3,Visalia,United States
41.06,-73.81,Elmsford,United States
34.71,-86.62,Huntsville,United States
52.03,8.53,Bielefeld,Germany
34.05,134.57,Tokushima,Japan
25,45,unkown,Saudi Arabia
42.18,-87.81,Highland Park,United States
53.38,-1.5,Sheffield,United Kingdom
26.42,127.78,Kunigami District,Japan
42.87,-8.55,Santiago de Compostela,Spain
51.33,12.42,Leipzig,Germany
54.37,18.68,Gdansk,Poland
44.52,-89.56,Stevens Point,United States
39.17,-76.85,Columbia,United States
42.3,-85.61,Kalamazoo Township,United States
41.93,-88.76,DeKalb,United States
33.67,73.13,Islamabad,Pakistan
43.15,131.88,Vladivostok,Russia
33.79,-117.85,Orange,United States
32.97,131.58,Bungoono,Japan
42.15,-75.89,Binghamton,United States
38.59,-121.41,Sacramento,United States
43.12,-89.35,Madison,United States
36.07,136.2,Fukui,Japan
35.67,51.43,Tehrān,Iran
60.45,22.25,Turku,Finland
43.23,-86.25,Muskegon,United States
40.75,-73.64,Mineola,United States
36.78,-95.62,Delaware,United States
55.58,13,Malmö,Sweden
51.72,8.73,Paderborn,Germany
36.74,-119.78,Fresno,United States
45.03,39,Krasnodar,Russia
34.25,134.03,Takamatsu,Japan
39.62,-106.46,Vail,United States
42.97,-78.8,Buffalo,United States
-26.1,28.07,Sandton,South Africa
41.67,-71.5,unkown,United States
22.5,88.33,Kolkata,India
41.71,-85.97,Elkhart,United States
64.85,-147.85,Fairbanks,United States
42.89,-85.76,Grandville,United States
43.02,-77.77,Scottsville,United States
3.1,101.62,Petaling Jaya,Malaysia
38.81,-89.96,Edwardsville,United States
35.12,-103.32,San Jon,United States
34.22,-84.15,Cumming,United States
36.69,-82.02,Abingdon,United States
40.53,-74.34,Edison,United States
28.01,-82.56,Tampa,United States
51.47,-0.98,Reading,United Kingdom
42.23,-83.7,Ann Arbor,United States
30.22,-93.03,Iowa,United States
43.15,-72.47,Rockingham,United States
43.83,125.33,Changchun,China
55.42,11.57,Soro,Denmark
44.09,-121.29,Bend,United States
38.69,-77.14,Fort Belvoir,United States
43.6,3.88,Montpellier,France
31.62,130.53,Kagoshima,Japan
33.2,-96.61,McKinney,United States
38.31,-85.74,Jeffersonville,United States
38.35,-0.48,Alicante,Spain
-29.83,30.88,Pinetown,South Africa
20.98,-89.65,Merida,Mexico
53.83,-1.58,Leeds,United Kingdom
39.9,-86.22,Indianapolis,United States
33.67,-117.97,Huntington Beach,United States
44.42,8.95,Genoa,Italy
51.43,6.75,Duisburg,Germany
41.7,-71.45,Warwick,United States
41.04,-81.52,Akron,United States
36.38,139.77,Tochigi,Japan
38.23,21.73,Patra,Greece
52.67,1.48,unkown,United Kingdom
33.91,-118.35,Hawthorne,United States
34.23,-119.05,Camarillo,United States
45.52,-73.7,Montreal,Canada
32,-84,Leslie,United States
35.37,-94.41,Fort Smith,United States
44.02,-88.54,Oshkosh,United States
35.58,-97.64,Oklahoma City,United States
38.1,-122.58,Novato,United States
40.6,-74.76,Readington Township,United States
33.76,-118.08,Seal Beach,United States
57.18,65.48,Tyumen,Russia
48.73,2.28,Massy,France
30.3,120.12,Hangzhou,China
42.67,-73.77,Albany,United States
32.85,-96.97,Irving,United States
41.15,-95.91,Bellevue,United States
42.46,-83.23,Southfield,United States
48.75,-122.49,Bellingham,United States
