lat,lon,city,country
28,-82,Lakeland,United States
29.42,-98.49,San Antonio,United States
46.53,6.65,Lausanne,Switzerland
30.45,-91.19,Baton Rouge,United States
32.8,-117.14,San Diego,United States
47.62,-122.17,Bellevue,United States
48.42,-123.37,Victoria,Canada
42.74,-84.48,East Lansing,United States
37.44,-122.15,Palo Alto,United States
65,-18,unkown,Iceland
40.75,-111.88,Salt Lake City,United States
43.32,-79.8,Burlington,Canada
39.95,-75.17,Philadelphia,United States
46,25,unkown,Romania
33.77,-118.18,Long Beach,United States
-34.93,138.6,Adelaide,Australia
39.61,-104.88,Greenwood Village,United States
-33.82,18.5,Cape Town,South Africa
41.59,-93.62,Des Moines,United States
38.83,-77,Washington,United States
32,53,unkown,Iran
40.77,-74.03,Union City,United States
44.63,-63.58,Halifax,Canada
38.99,-94.67,Overland Park,United States
39.27,-96.32,Wamego,United States
42.06,-104.19,Torrington,United States
38.58,-121.49,Sacramento,United States
37.79,-122.39,San Francisco,United States
25.67,-100.42,Monterrey,Mexico
32.76,-97.33,Fort Worth,United States
37.69,-121.9,Pleasanton,United States
42.25,-71.83,Worcester,United States
-5,120,unkown,Indonesia
-33.43,-70.62,Santiago,Chile
38.94,-92.3,Columbia,United States
38.44,-122.75,Santa Rosa,United States
32,-5,unkown,Morocco
33.65,-117.59,Rancho Santa Margarita,United States
48.82,2.3,Malakoff,France
44,-85,Harrison,United States
-27.5,153,St Lucia,Australia
43.63,-116.21,Boise,United States
35.53,129.35,Ulsan,South Korea
51.6,-2.53,Thornbury,United Kingdom
33.63,-117.88,Newport Beach,United States
37.55,-77.44,Richmond,United States
40.71,-74.01,New York,United States
41.03,28.95,Istanbul,Turkey
39.29,-76.63,Baltimore,United States
35.26,-120.65,San Luis Obispo,United States
44.98,-93.27,Minneapolis,United States
51.88,-0.53,Dunstable,United Kingdom
61.7,50.75,Syktyvkar,Russia
50.3,12.2,Adorf/Vogtl.,Germany
38,23.73,Athens,Greece
52.25,21,Warsaw,Poland
45.17,15.5,Donja Glina,Croatia
56.17,-10.22,unkown,unkown
45.5,-122.69,Portland,United States
37.87,127.73,Chuncheon-si,South Korea
41.06,-74.78,Fredon Township,United States
36.65,127.45,Cheongju-si,South Korea
38.55,-121.75,Davis,United States
40.63,-103.22,Sterling,United States
37.39,-121.88,San Jose,United States
48.82,-124.03,Lake Cowichan,Canada
43.63,-79.6,Mississauga,Canada
34.7,101.6,Huangnan,China
47.67,-117.44,Spokane,United States
